spc_latin,latitude,longitude,tree_dbh
Platanus x acerifolia,40.72064624,-74.00768771,24
Styphnolobium japonicum,40.71751014,-73.99597274,1
Ailanthus altissima,40.72075943,-74.00954406,25
Quercus rubra,40.72467374,-74.00947332,25
Platanus x acerifolia,40.72221915,-74.00496821,23
Platanus x acerifolia,40.72216162,-74.00512925,27
Ulmus americana,40.72248951,-74.00247151,1
Platanus x acerifolia,40.72273209,-74.00559573,30
Pyrus calleryana,40.72427387,-74.00590236,22
Platanus x acerifolia,40.72371452,-74.00494471,27
Quercus phellos,40.73625393,-74.00811172,24
Quercus phellos,40.73699444,-74.00720408,25
Ulmus americana,40.73817272,-74.00624541,22
Quercus imbricaria,40.73664272,-74.00998057,1
Ulmus americana,40.73808802,-74.00795581,25
Zelkova serrata,40.73176111,-74.00711413,21
Quercus palustris,40.73235923,-74.00876119,32
Platanus x acerifolia,40.73174903,-74.00698594,22
Ulmus pumila,40.73787141,-74.00553155,21
Tilia americana,40.73816175,-74.00271267,21
Quercus palustris,40.73602791,-74.00495009,21
Ulmus americana,40.73639234,-74.00237079,24
Platanus x acerifolia,40.73088281,-74.00558767,24
Quercus phellos,40.72926986,-74.00690408,33
Ulmus americana,40.73137138,-74.00533982,21
Ginkgo biloba,40.73008106,-74.00580432,29
Ginkgo biloba,40.73007242,-74.00570902,23
Syringa reticulata,40.72961766,-74.00286587,1
Ginkgo biloba,40.73009895,-74.00600173,27
Platanus x acerifolia,40.72942427,-74.00247508,25
Ginkgo biloba,40.72947964,-74.00628543,21
Platanus x acerifolia,40.73089803,-74.00574807,24
Ginkgo biloba,40.72950715,-74.00658561,27
Ginkgo biloba,40.73010837,-74.00610563,22
Ginkgo biloba,40.7299525,-74.00676073,26
Ginkgo biloba,40.73011749,-74.00620631,23
Ginkgo biloba,40.7295172,-74.00669523,24
Quercus rubra,40.72851634,-74.00306334,25
Ginkgo biloba,40.73015454,-74.0066151,22
Platanus x acerifolia,40.72916742,-74.00259386,27
Styphnolobium japonicum,40.73211694,-74.00232822,21
Quercus phellos,40.73635982,-74.00678367,24
Quercus phellos,40.73488571,-74.00621194,28
Quercus palustris,40.73418638,-74.00756117,21
Ulmus americana,40.73431457,-74.00672783,23
Quercus imbricaria,40.7346224,-74.00625289,25
Syringa reticulata,40.73271836,-74.00989582,23
Styphnolobium japonicum,40.72711813,-74.00463746,22
Morus,40.73376819,-74.00583555,1
Prunus,40.73577375,-74.00192706,23
Aesculus glabra,40.73289097,-74.00631614,24
Quercus phellos,40.73486766,-74.00360167,26
Fraxinus pennsylvanica,40.73607823,-74.00383851,21
Quercus phellos,40.73393909,-74.00615254,21
Aesculus glabra,40.73206978,-74.00644809,21
Styphnolobium japonicum,40.73258034,-74.00485572,22
Quercus acutissima,40.7355167,-74.00590518,23
Prunus cerasifera,40.73320782,-74.00408906,1
Styphnolobium japonicum,40.73466152,-74.00493904,21
Cornus mas,40.7351812,-74.00329108,1
Quercus phellos,40.73495845,-74.00598594,23
Pyrus calleryana,40.73513048,-74.00124596,23
Pyrus calleryana,40.73645458,-74.00139031,24
Quercus palustris,40.73363888,-74.00232421,21
Pyrus calleryana,40.73385558,-74.00079307,22
Platanus x acerifolia,40.73407492,-73.99985343,21
Styphnolobium japonicum,40.74117389,-73.97883289,21
Platanus x acerifolia,40.74131915,-73.97954788,21
Morus,40.74010934,-73.97668412,23
Platanus x acerifolia,40.74875852,-73.9812235,21
Platanus x acerifolia,40.74822743,-73.97999697,21
Pyrus calleryana,40.74777689,-73.97915483,21
Platanus x acerifolia,40.74196413,-73.97717063,21
Quercus phellos,40.74362197,-73.97918002,24
Platanus x acerifolia,40.74180134,-73.9781998,1
Pyrus calleryana,40.7458141,-73.97611426,21
Pyrus calleryana,40.74203824,-73.9830884,1
Pyrus calleryana,40.75470304,-73.97215748,1
Platanus x acerifolia,40.75094741,-73.96842014,21
Styphnolobium japonicum,40.75282002,-73.97127984,1
Quercus phellos,40.75375405,-73.96795976,23
Pyrus calleryana,40.76489056,-73.99048378,25
Pyrus calleryana,40.76525007,-73.99108623,21
Pyrus calleryana,40.7649318,-73.99058166,23
Pyrus calleryana,40.76504356,-73.99084689,23
Gleditsia triacanthos var. inermis,40.76599871,-73.9892314,28
Quercus palustris,40.7640891,-73.98442661,1
Magnolia acuminata,40.76424319,-73.98451806,1
Gleditsia triacanthos var. inermis,40.76934224,-73.98716728,38
Acer,40.76742387,-73.98680062,0
Styphnolobium japonicum,40.76888977,-73.98780071,1
Styphnolobium japonicum,40.76329248,-73.99028875,22
Acer rubrum,40.76800572,-73.9917812,1
Platanus x acerifolia,40.7678868,-73.99335432,26
Ulmus americana,40.77293111,-73.96658297,29
Ginkgo biloba,40.76814157,-73.96269419,74
Tilia cordata,40.76890565,-73.96450805,1
Morus,40.77258815,-73.96273414,26
Ginkgo biloba,40.77091369,-73.96316346,1
Platanus x acerifolia,40.77139764,-73.96032751,22
Platanus x acerifolia,40.77128471,-73.96228223,22
Gleditsia triacanthos var. inermis,40.76691043,-73.95809061,26
Pyrus calleryana,40.77042872,-73.95803111,22
Pyrus calleryana,40.77071128,-73.9587035,24
Pyrus calleryana,40.76576018,-73.95704496,35
Ulmus americana,40.76925302,-73.95353437,22
Quercus phellos,40.77020499,-73.9675876,23
Platanus x acerifolia,40.75987016,-73.97079278,21
Quercus phellos,40.75862711,-73.96758082,1
Carpinus caroliniana,40.75950577,-73.96529636,1
Pyrus calleryana,40.75743031,-73.96474311,22
Ginkgo biloba,40.75568544,-73.97030483,1
Carpinus japonica,40.75528155,-73.96934673,25
Pyrus calleryana,40.75551244,-73.96989444,1
Quercus acutissima,40.75375153,-73.96768141,21
Platanus x acerifolia,40.7573016,-73.96035319,21
Platanus x acerifolia,40.75734436,-73.96045243,22
Platanus x acerifolia,40.7572492,-73.96023158,29
Robinia pseudoacacia,40.75591545,-73.96115186,21
Ginkgo biloba,40.75329748,-73.96466507,22
Ulmus americana,40.77400755,-73.97880336,21
Quercus palustris,40.77571481,-73.98214983,21
Ulmus americana,40.77461599,-73.97999693,21
Quercus palustris,40.77588601,-73.98214353,23
Pyrus calleryana,40.77940499,-73.975388,23
Platanus x acerifolia,40.77950051,-73.97561558,26
Platanus x acerifolia,40.77895559,-73.97457197,22
Styphnolobium japonicum,40.77918236,-73.9748576,21
Tilia americana,40.77872271,-73.97599046,21
Platanus x acerifolia,40.77405161,-73.98676932,21
Albizia julibrissin,40.77420834,-73.98681022,1
Styphnolobium japonicum,40.77491709,-73.98682492,23
Platanus x acerifolia,40.77410186,-73.9868883,24
Styphnolobium japonicum,40.77484977,-73.98666431,24
Platanus x acerifolia,40.77399842,-73.98664339,23
Styphnolobium japonicum,40.77501066,-73.98704814,21
Quercus acutissima,40.77263711,-73.98881082,1
Ilex,40.7798515,-73.98168332,1
Carpinus caroliniana,40.78144876,-73.98511132,30
Platanus x acerifolia,40.77188068,-73.98268494,27
Celtis occidentalis,40.77570453,-73.98389704,1
Liquidambar styraciflua,40.78187241,-73.98516023,22
Gleditsia triacanthos var. inermis,40.78531872,-73.9836802,21
Quercus palustris,40.7813006,-73.98123441,22
Ulmus americana,40.78977521,-73.98060873,27
Platanus x acerifolia,40.78861869,-73.97916782,26
Ulmus americana,40.78980572,-73.98054717,21
Platanus x acerifolia,40.7886047,-73.97913467,26
Ulmus americana,40.78987933,-73.9805326,26
